ADDRESS,CERT,CITY,COUNTY,NAME,OFFNAME,SERVTYPE,STALP,STCNTY,STNAME,ZIP,full_address,missed_address,lat,long
6633 Roosevelt Blvd,9846,Philadelphia,Philadelphia,Truist Bank,PHILADELPHIA MAYFAIR BRANCH,11,PA,42101,Pennsylvania,19149,"6633 Roosevelt Blvd, Philadelphia, PA 19149",False,40.036524,-75.062416
2133 Spring Garden St,7551,Philadelphia,Philadelphia,"Fulton Bank, National Association",SPRING GARDEN STREET BRANCH,11,PA,42101,Pennsylvania,19130,"2133 Spring Garden St, Philadelphia, PA 19130",False,39.964354,-75.174204
1722 S Broad St,7551,Philadelphia,Philadelphia,"Fulton Bank, National Association",SOUTH BROAD BRANCH,11,PA,42101,Pennsylvania,19145,"1722 S Broad St, Philadelphia, PA 19145",False,39.928583,-75.169055
6537 Castor Ave,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",CASTOR AVENUE BRANCH,11,PA,42101,Pennsylvania,19149,"6537 Castor Ave, Philadelphia, PA 19149",False,40.041469,-75.075085
1849 Walnut St,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",RITTENHOUSE BRANCH,11,PA,42101,Pennsylvania,19103,"1849 Walnut St, Philadelphia, PA 19103",False,39.950613,-75.171995
123 S Broad St,3511,Philadelphia,Philadelphia,"Wells Fargo Bank, National Association",MAIN BANKING BRANCH,11,PA,42101,Pennsylvania,19109,"123 S Broad St, Philadelphia, PA 19109",False,39.949486,-75.164083
1001 E Erie Ave,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",I & ERIE STREET BRANCH,11,PA,42101,Pennsylvania,19124,"1001 E Erie Ave, Philadelphia, PA 19124",False,40.005604,-75.108976
150 S Broad St,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",1417 Walnut Street Branch,11,PA,42101,Pennsylvania,19102,"150 S Broad St, Philadelphia, PA 19102",False,39.949603,-75.164594
1575 N 52nd St,3511,Philadelphia,Philadelphia,"Wells Fargo Bank, National Association",PARKWEST TOWN CENTER BRANCH,11,PA,42101,Pennsylvania,19131,"1575 N 52nd St, Philadelphia, PA 19131",False,39.97817,-75.22427
7782 Crittenden St,3511,Philadelphia,Philadelphia,"Wells Fargo Bank, National Association",MARKET SQUARE BRANCH,11,PA,42101,Pennsylvania,19118,"7782 Crittenden St, Philadelphia, PA 19118",False,40.073872,-75.195015
1544 Packer Ave,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",PACKER PARK BRANCH,11,PA,42101,Pennsylvania,19145,"1544 Packer Ave, Philadelphia, PA 19145",False,39.911373,-75.175553
330 W Oregon Ave,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",WHITMAN PLAZA BRANCH,11,PA,42101,Pennsylvania,19148,"330 W Oregon Ave, Philadelphia, PA 19148",False,39.913053,-75.154753
1634 Walnut St,3511,Philadelphia,Philadelphia,"Wells Fargo Bank, National Association",Rittenhouse Branch,11,PA,42101,Pennsylvania,19103,"1634 Walnut St, Philadelphia, PA 19103",False,39.949713,-75.168938
50 S 16th St,27332,Philadelphia,Philadelphia,Republic Bank,Republic Bank,11,PA,42101,Pennsylvania,19102,"50 S 16th St, Philadelphia, PA 19102",False,39.95467,-75.169145
1501 N Broad St,33568,Philadelphia,Philadelphia,United Bank of Philadelphia,United Bank of Philadelphia,11,PA,42101,Pennsylvania,19122,"1501 N Broad St, Philadelphia, PA 19122",False,39.976448,-75.157443
1760 Market St Fl 2,35075,Philadelphia,Philadelphia,The Philadelphia Trust Company,The Philadelphia Trust Company,11,PA,42101,Pennsylvania,19103,"1760 Market St Fl 2, Philadelphia, PA 19103",False,39.952872,-75.169901
121 S Broad St,18409,Philadelphia,Philadelphia,"TD Bank, National Association",BROAD AND SANSOM BRANCH,11,PA,42101,Pennsylvania,19107,"121 S Broad St, Philadelphia, PA 19107",False,39.950235,-75.163706
1845 Walnut St Ste 125,9846,Philadelphia,Philadelphia,Truist Bank,RITTENHOUSE SQUARE BRANCH,11,PA,42101,Pennsylvania,19103,"1845 Walnut St Ste 125, Philadelphia, PA 19103",False,39.950626,-75.171553
2231 Cottman Ave,18409,Philadelphia,Philadelphia,"TD Bank, National Association",COTTMAN & BUSTLETON BRANCH,11,PA,42101,Pennsylvania,19149,"2231 Cottman Ave, Philadelphia, PA 19149",False,40.048351,-75.060149
5501 Ridge Ave,18409,Philadelphia,Philadelphia,"TD Bank, National Association",ROXBOROUGH BRANCH,11,PA,42101,Pennsylvania,19128,"5501 Ridge Ave, Philadelphia, PA 19128",False,40.024288,-75.207539
1515 Market St,26647,Philadelphia,Philadelphia,Firstrust Savings Bank,SIXTEEENTH AND KENNEDY BRANCH,11,PA,42101,Pennsylvania,19102,"1515 Market St, Philadelphia, PA 19102",False,39.953307,-75.166097
1901 Walnut St,26647,Philadelphia,Philadelphia,Firstrust Savings Bank,WALNUT STREET BRANCH,11,PA,42101,Pennsylvania,19103,"1901 Walnut St, Philadelphia, PA 19103",False,39.950612,-75.172541
9501 Bustleton Ave,3510,Philadelphia,Philadelphia,"Bank of America, National Association",BUSTLETON BRANCH,11,PA,42101,Pennsylvania,19115,"9501 Bustleton Ave, Philadelphia, PA 19115",False,40.085487,-75.036937
1002 South St,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",10TH & SOUTH BRANCH,11,PA,42101,Pennsylvania,19147,"1002 South St, Philadelphia, PA 19147",False,39.942726,-75.158875
1032 Arch St,34888,Philadelphia,Philadelphia,Parke Bank,ARCH STREET BRANCH,11,PA,42101,Pennsylvania,19107,"1032 Arch St, Philadelphia, PA 19107",False,39.953467,-75.157665
701 W Lehigh Ave,18409,Philadelphia,Philadelphia,"TD Bank, National Association",PHILADELPHIA LEHIGH BRANCH,11,PA,42101,Pennsylvania,19133,"701 W Lehigh Ave, Philadelphia, PA 19133",False,39.992946,-75.144703
2400 Market St Ste 239,913,Philadelphia,Philadelphia,The Northern Trust Company,PHILADELPHIA BRANCH,11,PA,42101,Pennsylvania,19103,"2400 Market St Ste 239, Philadelphia, PA 19103",False,39.953695,-75.179358
1726 Walnut St,18409,Philadelphia,Philadelphia,"TD Bank, National Association",RITTENHOUSE SQUARE BRANCH,11,PA,42101,Pennsylvania,19103,"1726 Walnut St, Philadelphia, PA 19103",False,39.949946,-75.170468
401 W Tabor Rd,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",TABOR ROAD BRANCH,11,PA,42101,Pennsylvania,19120,"401 W Tabor Rd, Philadelphia, PA 19120",False,40.034697,-75.129338
238a Moore St,7551,Philadelphia,Philadelphia,"Fulton Bank, National Association",MOORE AT MOYAMENSING AVE BRANCH,11,PA,42101,Pennsylvania,19148,"238a Moore St, Philadelphia, PA 19148",False,39.92554,-75.151027
401 Rhawn St,7759,Philadelphia,Philadelphia,Univest  Bank and Trust Co.,PHILADELPHIA BRANCH,11,PA,42101,Pennsylvania,19111,"401 Rhawn St, Philadelphia, PA 19111",False,40.077246,-75.0848
200 S 40th St,6384,Philadelphia,Philadelphia,"PNC Bank, National Association",40TH STREET BRANCH,11,PA,42101,Pennsylvania,19104,"200 S 40th St, Philadelphia, PA 19104",False,39.9537,-75.202981
5873 Ridge Ave,17838,Philadelphia,Philadelphia,"Wilmington Savings Fund Society, FSB",RIDGE AVENUE BRANCH,11,PA,42101,Pennsylvania,19128,"5873 Ridge Ave, Philadelphia, PA 19128",False,40.029912,-75.210855
1700 Walnut St,57957,Philadelphia,Philadelphia,"Citizens Bank, National Association",RITTENHOUSE BRANCH,11,PA,42101,Pennsylvania,19103,"1700 Walnut St, Philadelphia, PA 19103",False,39.949732,-75.169309
